name,street_address,google_map,review_count,phone,website,restaurant_type,average_review,food_review,service_review,ambience_review,value_review,price_range,star_1,star_2,star_3,star_4,star_5,description,restaurant_main_type,latitude,longitude,postal_code
Kellari Taverna,"19 West 44th Street New York, NY  10036",//www.google.com/maps/search/?api=1&query=40.7550000%2C-73.98,5209,(212) 221-0144,http://www.kellariny.com/,Greek,4.45209,4.4,4.2,4.3,4,$31 to $50,1,3,8,25,63,"Kellari Taverna is located in the heart of New York City, three blocks from Grand Central Station, Times Square and the Theater District. The dining room decor evokes a subterranean wine cellar designed with contemporary elegance. Kellari features the tr",Greek,40.7555245,-73.980845,10036
Craft,"43 E. 19th St. New York, NY  10003",//www.google.com/maps/search/?api=1&query=40.7383870%2C-73.989275,5098,(212) 780-0880,http://www.craftrestaurant.com/,American,4.75098,4.7,4.7,4.6,4.1,$50 and over,1,2,4,14,79,"Simply-prepared American fare showcasing pristine seasonal ingredients sourced from family farms, day boat fishermen and specialized ranchers enjoyed in an elegantly understated space.  Awarded three stars by the New York Times, Craft received the presti",American,40.7381819,-73.9886502,10003
Almond,"12 East 22nd Street New York, NY  10010",//www.google.com/maps/search/?api=1&query=40.7405000%2C-73.9893,2137,(212) 228-7557,http://almondrestaurant.com/s/flatiron/,Farm-to-table,4.62137,4.4,4.2,4.4,4.1,$31 to $50,1,2,6,19,72,"Seasonal, Local & Artisanal Since 2001 Co-founder and chef Jason Weiner creates seasonally focused ever-changing menus that are guided by a  market driven ethos. We highlight our personal relationships with growers, fishermen, artisans and winemakers.Our",Other,40.740048,-73.988742,10010
Dos Caminos - Times Square,"1567 Broadway W Hotel Times Square New York, NY  10036",//www.google.com/maps/search/?api=1&query=40.7593250%2C-73.985599,877,(212) 918-1330,http://www.doscaminos.com/,Mexican,4.3877,4.2,4.1,3.9,3.7,$31 to $50,1,5,12,30,52,Dos Caminos Times Square spans two floors and features a 40-seat mezcal and margarita bar on the street level and a guacamole bar on the subterranean level. ,Mexican,40.7593562,-73.98569,10036
Momofuku Nishi,"232 8th Ave New York, NY  10011",//www.google.com/maps/search/?api=1&query=40.7443480%2C-73.998807,493,(646) 565-4109,http://nishi.momofuku.com/,Contemporary American,4.5493,4.5,4.5,4.2,3.9,$31 to $50,1,2,9,24,64,"Nishi is located in Manhattan’s Chelsea neighborhood. Chef Joshua Pinsky creates Italian-inspired dishes using unexpected techniques and ingredients. In addition to a la carte pasta and meat & fish offerings, the menu also features a house-made pasta t",Contemporary American,40.7443534,-73.9988194,10011
Felidia,"243 E. 58th New York, NY  10022",//www.google.com/maps/search/?api=1&query=40.7606210%2C-73.966034,4613,(212) 758-1479,http://www.felidia-nyc.com/,Italian,4.74613,4.7,4.7,4.4,4.2,$31 to $50,1,1,5,18,75,"Felidia, located in Midtown east Manhattan is near Broadway theaters, Radio City, Central Park, MOMA, Rockefeller Center and Bloomingdales. It opened in 1981 by Lidia Bastianich. Felidia is known for authentic, contemporary Italian cuisine.Executive Chef",Italian,40.7603605,-73.9651074,10022
Rosa Mexicano - Union Square,"9 E. 18th St. New York, NY  10003",//www.google.com/maps/search/?api=1&query=40.7380000%2C-73.991,3966,(212) 533-3350,http://www.rosamexicano.com/,Mexican,4.53966,4.4,4.4,4.4,4.1,$31 to $50,1,2,7,22,68,"Just blocks away from Manhattan’s lively Union Square, our third New York location provides a warm and vibrant setting for our award-winning authentic Mexican cuisine. Designed by David Rockwell, the restaurant features architectural accents inspired b",Mexican,40.7383272,-73.9907621,10003
Taboon,"773 10th Avenue New York, NY  10019",//www.google.com/maps/search/?api=1&query=40.7660830%2C-73.990785,1545,(212) 713-0271,http://taboononline.com/,Middle Eastern,4.71545,4.7,4.5,4.4,4.1,$50 and over,0,1,3,20,76,"Taboon means ""oven"" in Arabic. Considered the heart of our restaurant, the wood fired Taboon oven delivers freshly prepared specialties that are exotic, healthful and full of flavor. Our trademark ""Middle Terranean"" cuisine blends the traditions of the M",Other,40.7662319,-73.9910064,10019
Bocca Di Bacco (Theatre District - 45th St.),"635 9th Avenue New York, NY  10036",//www.google.com/maps/search/?api=1&query=40.7600000%2C-73.991,1957,(212) 262-2525,http://www.boccadibacconyc.com/,Italian,4.41957,4.5,4.4,4.2,4.1,$30 and under,1,1,7,32,59,"Dynamic menu of original Southern Italian cuisine that dominates this welcome addition to Hell’s Kitchen. This addition is made even more welcome with the breathtaking beautiful transformation of a once historic space into a hip, fun, stop for dinner t",Italian,40.7602369,-73.9916534,10036
Rotisserie Georgette,"14 East 60th Street New York, NY  10022",//www.google.com/maps/search/?api=1&query=40.7644250%2C-73.971617,1011,(212) 390-8060,http://www.rotisserieg.com/,French American,4.71011,4.6,4.6,4.5,4.2,$30 and under,0,1,4,18,77,"The dining room combines casual comfort and sophistication with touches that are both rough-hewn and refined. But the main attraction is the partly open kitchen’s rôtisserie ovens and their fine meats, poultry and fish turning over open flames. Abunda",French,40.7643208,-73.9717311,10022
The National Bar & Dining Rooms,"557 Lexington Ave New York, NY  10022",//www.google.com/maps/search/?api=1&query=40.7565930%2C-73.971947,2319,(212) 715-2410,http://www.thenationalnyc.com/,Contemporary American,4.42319,4.2,4,4,3.7,$30 and under,1,2,10,29,58,"Chef Geoffrey Zakarian brings his vision of a contemporary New York grand café to life at The National Bar & Dining Rooms. Housed in the same 1927 Emery Roth-designed building as The Benjamin Hotel, The National's all-occasion modern bistro offerings sa",Contemporary American,40.756593,-73.971947,10022
The Wayfarer,"101 West 57th St. New York, NY  10019",//www.google.com/maps/search/?api=1&query=40.7643890%2C-73.977469,626,(212) 691-0030,http://thewayfarernyc.com/,American,4.5626,4.3,4.2,4.2,3.8,$31 to $50,1,2,7,22,68,The Wayfarer opened in 2014 and is a bi-level Classic American grille located on the bustling corner of 57th street and 6th Avenue just below Central Park. The diverse artisanal menu focuses on locally sourced ingredients. The menu is complemented by cus,American,40.7646408,-73.9772407,10019
The Dining Room at The Metropolitan Museum of Art,"1000 5th Avenue in the Metropolitan Museum of Art New York, NY  10028",//www.google.com/maps/search/?api=1&query=40.7784230%2C-73.962677,939,(212) 570-3975,http://www.metmuseum.org/visit/met-fifth-avenue#MembersDiningRoom,Contemporary American,4.4939,4.4,4.2,4.4,3.8,$50 and over,2,3,9,27,59,"In a serene setting overlooking Central Park, The Dining Room offers contemporary American cuisine with an emphasis on seafood as well as local and seasonal ingredients. Each month, Executive Chef Fred Sabo prepares a four-course tasting menu inspired by",Contemporary American,40.7794366,-73.963244,10028
Il Mulino New York - Uptown,"37 East 60th New York, NY  10021",//www.google.com/maps/search/?api=1&query=40.7641430%2C-73.970194,910,(212) 750-3270,http://www.ilmulino.com/,Italian,4.691,4.7,4.5,4.4,4.1,$50 and over,2,2,6,14,76,"For nearly 35 years, Il Mulino New York has prepared authentic Abruzzese cuisine with unparalleled service. There’s no place like Il Mulino New York. The luxury Italian restaurant’s flagship Greenwich Village outpost initiated New York’s fine Itali",Italian,40.764144,-73.970195,10021
Molyvos,"871 7th Avenue New York, NY  10019",//www.google.com/maps/search/?api=1&query=40.7644260%2C-73.980646,4103,(212) 582-7500,http://www.molyvos.com/,Greek,4.44103,4.4,4.3,4.2,3.9,$31 to $50,1,3,9,29,58,"A Livanos' family creation, Molyvos is the closest you can get to Greece in New York City. Critics agree that Molyvos serves perhaps the finest example of Greek cuisine in New York, and beyond. People from around the world have discovered that Molyvos se",Greek,40.7644845,-73.9805464,10019
Danji,"346 West 52nd Street New York, NY  10019",//www.google.com/maps/search/?api=1&query=40.7640010%2C-73.986873,595,(212) 586-2880,http://www.danjinyc.com/,Korean,4.7595,4.7,4.5,4.3,4.2,$31 to $50,0,1,5,21,73,"Danji showcases authentic Korean flavors prepared with classic techniques to enhance the taste, textures, and aesthetic of each dish. We offer small but shareable portions served in multiple courses, allowing diners to enjoy each dish hot out of the kitc",Japanese & Koren,40.7640352,-73.9868366,10019
Tommy Bahama - New York,"551 Fifth Avenue New York, NY  10176",//www.google.com/maps/search/?api=1&query=40.7553670%2C-73.978413,1466,(212) 537-0960,http://tommybahama.com/,American,4.61466,4.5,4.5,4.5,4.2,$30 and under,1,1,5,23,70,"Tommy Bahama combines a tranquil environment and excellent food food with an emphasis on hospitality to make for the perfect place to recharge or unwind while indulging in a unique dining experience. The experience is sure to feel like a getaway, whether",American,40.7553825,-73.9788937,10176
Marseille,"630 Ninth Avenue New York, NY  10036",//www.google.com/maps/search/?api=1&query=40.7599110%2C-73.991356,5752,(212) 333-2323,http://www.marseillenyc.com/,French,4.45752,4.3,4.3,4.3,4.1,$31 to $50,1,2,8,32,57,Marseille is a casual Southern French restaurant with Mediterranean influences.,French,40.759987,-73.9912338,10036
Sarabeth's East,"1295 Madison Avenue New York, NY  10128",//www.google.com/maps/search/?api=1&query=40.7845480%2C-73.956095,690,(212) 410-7335,http://sarabethsrestaurants.com/,American,4.369,4.2,4.2,4.1,3.8,$30 and under,1,4,11,26,58,"A staple of Manhattan's Upper East Side for more than twenty years, Sarabeth's East is gourmet American cuisine in a casual dining atmosphere. ",American,40.7847977,-73.9556597,10128
The Capital Grille - NY – Chrysler Center,"155 E 42nd Street Located in the Trylon Towers of The Chrysler Center New York, NY  10017",//www.google.com/maps/search/?api=1&query=40.7513190%2C-73.974901,3491,(212) 953-2000,http://www.thecapitalgrille.com/,Steakhouse,4.73491,4.7,4.7,4.6,4.2,$50 and over,0,1,4,17,78,"You are cordially invited to be wined, dined, and dazzled at The Capital Grille. Enjoy nationally renowned steaks — dry aged and hand-cut on premises by the restaurant's own butchers— the freshest of seafood, creative sides, and irresistible desserts",Steakhouse,40.7511656,-73.9748837,10017
Hunt & Fish Club NYC,"125 West 44th Street New York, NY  10036",//www.google.com/maps/search/?api=1&query=40.7567930%2C-73.984254,1075,(212) 575-4949,http://www.hfcnyc.com/,Steakhouse,4.61075,4.6,4.5,4.5,4,$50 and over,1,2,6,18,73,"The Hunt and Fish Club is a contemporary New York steakhouse offering the classic cuts of beef and innovative dishes prepared by Executive Chef Chad Brown. ""HFC"" embodies the soul of a classic NY steakhouse reborn into a sleekly designed, elegantly appoi",Steakhouse,40.7568129,-73.984243,10036
Ammos Estiatorio,"52 Vanderbilt Avenue New York, NY  10017",//www.google.com/maps/search/?api=1&query=40.7542670%2C-73.977181,3773,(212) 922-9999,http://www.ammosnewyork.com/,Seafood,4.63773,4.5,4.5,4.4,4.2,$31 to $50,0,2,6,25,67,"***** SEAFOOD GREEK RESTAURANT ***** Located in the Heart of  Midtown, steps away from Grand Central Terminal. Ammos provides upscale, authentic cuisine from various regions of Greece. The menu features a wide array of mezedes and pristinely fresh seafoo",Seafood,40.7543343,-73.9773555,10017
T-BAR Steak & Lounge (Upper East Side),"1278 3rd Avenue New York, NY  10028",//www.google.com/maps/search/?api=1&query=40.7710000%2C-73.96,1270,(212) 772-0404,http://www.tbarnyc.com/,Steakhouse,4.6127,4.5,4.4,4.3,4.1,$31 to $50,1,1,5,24,69,T-Bar Steak & Lounge is Tony Fortuna's new spin on the classic steak house. Chef Ben Zwicker's menu consists of raw bar that includes tartares; steak bar that includes prime cuts and as well as tuna and salmon steaks; appetizers are divided in classic an,Steakhouse,40.7707731,-73.9600923,10028
Bocca di Bacco (Hell's Kitchen - 54th St.),"828 9th Avenue New York, NY  10019",//www.google.com/maps/search/?api=1&query=40.7661560%2C-73.986752,1627,(212) 265-8828,http://www.boccadibacconyc.com/,Italian,4.61627,4.6,4.5,4.4,4.3,$30 and under,0,1,6,26,67,An Italian wine bar with 45 bottles by the glass and over 500 wines by the bottle.,Italian,40.7661302,-73.9867853,10019
The Clocktower,"5 Madison Ave. New York, NY  10010",//www.google.com/maps/search/?api=1&query=40.7411290%2C-73.98777,1019,(212) 413-4300,http://www.theclocktowernyc.com/,English,4.51019,4.4,4.3,4.5,3.8,$50 and over,1,2,8,22,67,"The Clocktower is a new restaurant from Stephen Starr and Michelin-starred chef and restaurateur Jason Atherton.  It is located in Ian Schrager's Edition Hotel, located at 5 Madison Avenue (at 24th Street), in the iconic Met Life Tower building. The 88 s",Other Europe,40.7412504,-73.9875224,10010
Masseria dei Vini,"887-889 9th Ave. New York, NY  10019",//www.google.com/maps/search/?api=1&query=40.7684920%2C-73.985762,1190,(212) 315-2888,http://www.masseriadeivini.com/,Italian,4.6119,4.6,4.6,4.4,4.1,$31 to $50,1,2,4,24,69,"Masseria dei Vini (Masseria of Wines) is the new venture brought to you from the La Masseria Team.Restauranteur Pino Coladonato, Peppe Iuele and Enzo Ruggiero have teamed up again with Interior Designer Libby Langdon, bringing you a modern update version",Italian,40.7684477,-73.9857048,10019
Lexington Brass,"517 Lexington Avenue New York, NY  10017",//www.google.com/maps/search/?api=1&query=40.7552470%2C-73.972979,1089,(212) 392-5976,http://www.catchhg.com/,American,4.51089,4.4,4.2,4.2,3.9,$31 to $50,1,2,7,26,64,"Located adjacent to the Hotel 48 Lex in midtown Manhattan, Lexington Brass is a new age American Brasserie focused on bringing high quality dishes to diners in search of an authentic New York experience.  Using only the finest, locally sourced ingredient",American,40.7553,-73.9728788,10017
Serra by Birreria,"200 Fifth Avenue New York, NY  10010",//www.google.com/maps/search/?api=1&query=40.7420200%2C-73.989927,1296,(212) 937-8910,http://www.eataly.com/nyc-birreria,Italian,4.21296,4,3.7,4.4,3.5,$30 and under,3,5,16,25,51,"Step into the Italian countryside at SERRA by Birreria, our new ""greenhouse"" pop-up on the roof. The restaurant will transport you from the hot pavement of Manhattan to the rolling fields of Italy. Sit down at rustic tables in the shade, and share down-t",Italian,40.7419931,-73.9899357,10010
GAONNURI,"1250 BROADWAY 39th Floor New York, NY  10001",//www.google.com/maps/search/?api=1&query=40.7481350%2C-73.988038,1830,(212) 971-9045,http://www.gaonnurinyc.com/,Korean,4.5183,4.4,4.3,4.6,4,$31 to $50,1,2,7,24,66,"GAONNURI RESTAURANT / THE PENTHOUSE BAR & LOUNGE GAONNURI [gah-ohn-nu-ri]: The Center of the WorldThe name GAONNURI represents our placement in what we believe is the center of the world, both physically and figuratively. Located in the heart of New York",Japanese & Koren,40.7476831,-73.9878697,10001
Obao,"647 9th Avenue New York, NY  10036",//www.google.com/maps/search/?api=1&query=40.7606000%2C-73.991223,1702,(212) 245-8880,http://www.obaony.com/,Thai,4.31702,4.3,4.2,4.2,4.2,$31 to $50,2,3,10,32,53,"OBAO bridges the gap from the street of Southeast Asia to the streets of NYC, bringing you combinations of various Thai and Vietnamese comfort foods with a twist.  OBAO takes traditional dishes from Thailand and Vietnam like Pad Thai and Pho Noodles and ",Southeast Asian,40.7606544,-73.991332,10036
Remi,"145 West 53rd Street New York, NY  10019",//www.google.com/maps/search/?api=1&query=40.7624290%2C-73.980349,2206,(212) 581-4242,http://www.remi-nyc.com/,Italian,4.52206,4.5,4.4,4.5,4.1,$31 to $50,1,2,7,22,68,"Located in the heart of Midtown, Remi restaurant was created and designed by Adam D. Tihany.Remi combines the cuisine, architecture, and atmosphere of Venice.",Italian,40.7622408,-73.9798689,10019
Glass House Tavern,"252 West 47th Street New York, NY  10036",//www.google.com/maps/search/?api=1&query=40.7598310%2C-73.986685,3642,(212) 730-4800,http://www.glasshousetavern.com/,Contemporary American,4.33642,4.3,4.4,4.1,4,$31 to $50,0,3,11,37,49,"You feel a great energy when you walk into the Glass House Tavern. The decor is soothing and warm and truly makes the customer feel welcome. The prompt, friendly service is delightful and the food is incredible. Executive Chef Craig Cupani has created a ",Contemporary American,40.759833,-73.986698,10036
Dos Caminos - Third Avenue,"825 Third Avenue at 50th Street New York, NY  10022",//www.google.com/maps/search/?api=1&query=40.7564780%2C-73.970271,2396,(212) 336-5400,http://www.doscaminos.com/,Mexican,4.32396,4.1,3.8,4,3.7,$31 to $50,2,5,10,25,58,"Dos Caminos brings the vibrant spirit of Mexico City to New York City. Serving authentic and upscale Mexican cuisine, including fresh guac, killer margaritas, and South of the Border staples like Asada Tacos and Mexico City-Style quesadillas. The tequila",Mexican,40.7558722,-73.9701462,10022
Stella 34 Trattoria,"Macy’s at Herald Square 151 West 34th Street New York, NY  10001",//www.google.com/maps/search/?api=1&query=40.7501240%2C-73.988318,1973,(212) 967-9251,http://www.patinagroup.com/stella-34,Italian,4.41973,4.4,4.3,4.3,4,$30 and under,1,2,9,32,56,"Stella 34 Trattoria is a modern Italian restaurant inside Macy's in Midtown NYC with Empire State Building views, serving lunch, dinner, brunch and drinks.",Italian,40.7507815,-73.9889593,10001
MR CHOW - 57th,"324 East 57th Street New York, NY  10022",//www.google.com/maps/search/?api=1&query=40.7588750%2C-73.964281,1710,(212) 751-9030,http://www.mrchow.com/,Chinese,4.6171,4.6,4.6,4.4,4,$50 and over,1,3,8,12,76,"Opened in 1979 by world famous restaurateur Michael Chow. MR CHOW started in London in 1968 and continues to enjoy generations of devoted clients from art, fashion, music, and entertainment. Recently awarded the 5 Star Diamond Award by the American Acade",Chinese,40.7587261,-73.9644708,10022
Casa Lever,"390 Park Avenue New York, NY  10022",//www.google.com/maps/search/?api=1&query=40.7595780%2C-73.97239,1092,(212) 888-2700,http://www.casalever.com/,Italian,4.71092,4.6,4.6,4.6,4.1,$50 and over,1,1,4,16,78,"Manhattan sophistication meets superb Milanese classics at Casa Lever, the new restaurant from the family that brought you Sant Ambroeus.Modern art and timeless architecture set the stage for Italian classics, curated wine and creative cocktails. The epi",Italian,40.7597285,-73.9729477,10022
Jams - NYC,"1414 6th Avenue New York, NY  10019",//www.google.com/maps/search/?api=1&query=40.7648320%2C-73.976823,471,(212) 703-2007,http://jamsrestaurant.nyc/,American,4.4471,4.2,4.2,4.3,3.8,$30 and under,0,4,9,26,61,"Celebrity chef Jonathan Waxman's new restaurant with an emphasis on seasonal ingredients and an air of simplicity serving breakfast, lunch and dinner.",American,40.7647578,-73.9765408,10019
Ousia,"629 W 57th St New York, NY  10019",//www.google.com/maps/search/?api=1&query=40.7714850%2C-73.994053,383,(212) 333-2000,http://www.ousianyc.com/,Mediterranean,4.5383,4.4,4.4,4.5,4.1,$31 to $50,1,1,10,26,62,"Ousia, a Greek-focused Mediterranean concept from the family-owned and operated Livanos Restaurant Group, brings an intimate shared dining experience to Manhattan for lunch, dinner, and weekend brunch.  Celebrating the rich traditions of Mediterranean cu",Mediterranean,40.7709893,-73.9925681,10019
Rosa Mexicano - First Avenue,"1063 1st Avenue New York, NY  10022",//www.google.com/maps/search/?api=1&query=40.7589250%2C-73.962759,2015,(212) 753-7407,http://www.rosamexicano.com/,Mexican,4.52015,4.4,4.3,4.2,4.1,$31 to $50,1,2,7,23,67,"Our flagship location opened its doors on First Avenue in 1984. From the moment you arrive, old world charm permeates your dining experience through authentic Mexican colors and rustic folk art. Traditional amate gods greet you at the front entrance and ",Mexican,40.7589658,-73.9627039,10022
Red Cat,"227 Tenth Avenue New York, NY  10011",//www.google.com/maps/search/?api=1&query=40.7479920%2C-74.00417,3209,(212) 242-1308,http://www.theredcat.com/,American,4.73209,4.6,4.7,4.5,4.3,$31 to $50,0,1,3,19,77,"This Old Chelsea food hall opened in 1999 and is a New York original. The Red Cat's combination of come-as-you-are sensibilities and straightforward, satisfying, and occasionally irreverent cuisine instantly establish the restaurant as a favorite with Ne",American,40.7481259,-74.0041907,10011
Ruth's Chris Steak House - New York City - Midtown,"148 West 51st Street New York, NY  10019",//www.google.com/maps/search/?api=1&query=40.7614000%2C-73.9821,4233,(212) 245-9600,http://www.ruthschris.com/Restaurant-Locations/manhattan,Steakhouse,4.54233,4.6,4.5,4.4,4.1,$31 to $50,1,3,8,21,67," Looking for a reservation? Call us at (212) 245-9600 and we will do our best to accommodate you. Ruth's Chris Steak House in New York, NY serves the finest USDA Prime beef available, broiled at 1,800° and served on 500° plates, so your steak stays hot",Steakhouse,40.7613323,-73.9821595,10019
Sea Fire Grill,"158 East 48th Street New York, NY  10017",//www.google.com/maps/search/?api=1&query=40.7548880%2C-73.972435,1734,(212) 935-3785,http://www.theseafiregrill.com/,Seafood,4.61734,4.6,4.6,4.4,4.1,$31 to $50,0,1,5,23,71,"Offering seasonally focused, contemporary American seafood, where only the finest and freshest seafood is highlighted. Guests will be enchanted by the superb selection of raw bar favorites and delicious appetizers which include East & West Coast Oysters,",Seafood,40.7546919,-73.9722216,10017
Blue Water Grill,"31 Union Square West at 16th Street New York, NY  10003",//www.google.com/maps/search/?api=1&query=40.7365330%2C-73.990786,5011,(212) 675-9500,http://www.bluewatergrillnyc.com/,Seafood,4.55011,4.4,4.3,4.4,3.9,$31 to $50,2,3,6,25,64,"Blue Water Grill, a Zagat favorite year over year, is a sustainable seafood dining destination in the heart of Union Square. Loyal guests and visitors alike are drawn to the former Metropolitan Bank space with chandeliers that illuminate the bi-level din",Seafood,40.7368125,-73.9911064,10003
Vaucluse,"100 East 63rd Street New York, NY  10065",//www.google.com/maps/search/?api=1&query=40.7649210%2C-73.967668,1078,(646) 869-2300,http://vauclusenyc.com/,French,4.51078,4.5,4.4,4.5,4,$31 to $50,1,3,8,18,70,Vaucluse is a stylish French brasserie from Michael White and the Altamarea Group.,French,40.7650225,-73.9676044,10065
LEGASEA,"485 Seventh Avenue New York, NY  10018",//www.google.com/maps/search/?api=1&query=40.7523580%2C-73.989319,261,(212) 268-1888,http://www.legaseany.com/,Seafood,4.3261,4.3,4.2,4.1,3.7,$50 and over,2,2,11,30,55,Legasea combines a top-tier seafood menu with a fun-casual atmosphere for an entertaining dining experience that is to be expected from TAO Group. Executive Chef Jason Hall (formerly of Craft and Gotham Bar & Grill) and TAO Group Partner/Chef Ralph Scama,Seafood,40.7522809,-73.9893607,10018
STK - NYC - Meatpacking,"26 Little West 12th St. New York, NY  10014",//www.google.com/maps/search/?api=1&query=40.7399000%2C-74.007395,1513,(646) 624-2444,http://www.stkhouse.com/,Steakhouse,4.41513,4.5,4.1,4.4,3.8,$31 to $50,3,3,11,21,62,"STK artfully blends two concepts into one—the modern steakhouse and a chic lounge. A large central lounge area is furnished with creamy leather banquettes and textured crocodile tiles, and is surrounded by an elevated dining room for more formal dining",Steakhouse,40.7398399,-74.0071747,10014
Esca,"402 West 43rd Street New York, NY  10036",//www.google.com/maps/search/?api=1&query=40.7591600%2C-73.992316,4874,(212) 564-7272,http://www.esca-nyc.com/,Italian,4.34874,4.3,4.3,4.2,3.6,$30 and under,3,5,12,25,55,Esca is a Southern Italian Seafood Restaurant created by Joseph Bastianich & David Pasternack. Esca showcases the style and sensibility of Italian coastal cooking. Dave went to Italy and saw firsthand what they were talking about. After years of cooking ,Italian,40.7592097,-73.9927457,10036
The Leopard at des Artistes,"1 West 67th St. New York, NY  10023",//www.google.com/maps/search/?api=1&query=40.7734360%2C-73.978955,1329,(212) 787-8767,http://www.theleopardnyc.com/,Italian,4.51329,4.4,4.5,4.6,4,$50 and over,2,2,5,24,67,"Located in the New York landmarked Hotel Des Artistes, and surrounded by the astonishing 1920s murals by Howard Chandler Christy, THE LEOPARD at des Artistes finds its roots in the area once known as “The Kingdom of the Two Sicilies” (mid 1800s) and ",Italian,40.773502,-73.9789261,10023
21 Club,"21 West 52nd Street New York, NY  10019",//www.google.com/maps/search/?api=1&query=40.7602250%2C-73.97706,3262,(212) 582-7200,http://www.21club.com/,American,4.73262,4.6,4.7,4.7,4.1,$50 and over,0,2,4,15,79,"Attentive service, fine American cuisine, a Grand Award-winning wine list and unique, historical surroundings set ‘21’ apart. Once a glamorous speakeasy, today '21' is one of the most celebrated restaurants in New York City. In addition to our two re",American,40.760533,-73.977397,10019
Benoit Restaurant and Wine Bar,"60 West 55th Street New York, NY  10019",//www.google.com/maps/search/?api=1&query=40.7624850%2C-73.976843,3170,(646) 943-7373,http://benoitny.com/,French,4.5317,4.5,4.4,4.4,4,$31 to $50,1,3,8,24,64,"Open since 2008, Benoit New York is the third member of internationally-acclaimed Chef Alain Ducasse’s Benoit family – which also includes the bistro in Paris since 1912 and Benoit Tokyo. In New York, guests enjoy a warm and authentic experience and ",French,40.7624832,-73.9773402,10019
DaDong NY,"3 Bryant Park New York, NY  10036",//www.google.com/maps/search/?api=1&query=40.7535960%2C-73.983232,342,(212) 355-9600,http://www.dadongny.com/,Chinese,4.1342,4,4.1,4.3,3.4,$31 to $50,5,7,11,23,54,"Welcome to the first U.S. restaurant by one of China’s most famous and influential Chefs, simply known as DaDong. Located in the world’s most prominent location, just east of the heart of Times Square, the restaurant occupies 12,932 square feet on th",Chinese,40.7548449,-73.9845597,10036
Lincoln Square Steak,"208 West 70th Street New York, NY  10023",//www.google.com/maps/search/?api=1&query=40.7772340%2C-73.983146,1976,(212) 875-8600,http://lincolnsquaresteak.com/,Steakhouse,4.51976,4.4,4.5,4.4,4.2,$50 and over,1,3,6,24,66,"An Italian-American Steakhouse serving family style, ""Quantity & Quality"", designed with a nostalgic decor that is reflective of the 1960s era, offers family style to be shared by all, steaks that are dry aged to perfection, succulent seafood dishes and ",Steakhouse,40.7775086,-73.9833154,10023
Club A Steakhouse,"240 East 58th Street New York, NY  10022",//www.google.com/maps/search/?api=1&query=40.7605260%2C-73.96609,3371,(212) 688-4190,http://clubasteakhouse.com/,Steakhouse,4.83371,4.7,4.8,4.7,4.6,$31 to $50,1,1,4,10,84,Club A Steakhouse provides a truly unique dining experience. Family owned and operated the owner Bruno Selimaj or one of his three sons are onsite and greets each guest every night. Club A manages to encompass the characteristics of a traditional steak h,Steakhouse,40.7600512,-73.9655781,10022
Anassa Taverna,"200 East 60th Street New York, NY  10022",//www.google.com/maps/search/?api=1&query=40.7620370%2C-73.966063,864,(212) 371-5200,http://www.anassataverna.com/,Greek,4.5864,4.4,4.2,4.2,4,$31 to $50,1,2,8,26,63,"This bi-level space is meant to evoke the Greek seashore, with warm weathered colors and decorative jewelry.Menu includes Mediterranean classics as a Greek salad, grilled lamb chops and a swordfish kebab. There's a raw bar, and daily specials that might ",Greek,40.7619091,-73.9658824,10022
Cafe d'Alsace,"1695 2nd Ave (Corner of  88th Street & 2nd Ave) New York, NY  10128",//www.google.com/maps/search/?api=1&query=40.7790080%2C-73.950886,1664,(212) 722-5133,http://www.cafedalsace.com/,French,4.41664,4.4,4.2,4.2,4.1,$31 to $50,0,2,10,32,56,"Cafe d'Alsace features chef  Philippe Roussel; previously at Chelsea Bar and Bistro and Montparnasse, is originally from Brittany, but he knows something about Alsace serving features such as his tarte flambée (onions and bacon), potée (cabbage soup) a",French,40.7791721,-73.9510841,10128
Burke & Wills,"226 West 79th Street New York, NY  10024",//www.google.com/maps/search/?api=1&query=40.7833610%2C-73.979579,516,(646) 823-9251,http://www.burkeandwillsny.com/,Australian,4.6516,4.5,4.6,4.6,4.1,$31 to $50,1,2,5,25,67,Modern Australian bistro focusing on seasonal produce featuring a menu of modern  fare with an Australian twist. Items including creative takes on authentic dishes like a Kangaroo Burger and Australian Lamb Rack.  The restaurant also features an all Aust,Other,40.7833649,-73.9795709,10024
Boucherie - Park Avenue South,"225 Park Ave South New York, NY  10003-1604",//www.google.com/maps/search/?api=1&query=40.7371080%2C-73.987891,128,(212) 353-0200,http://boucherie.nyc/,French,4.3128,4.2,4.2,4.4,3.8,$31 to $50,2,4,10,25,59,"BOUCHERIE is a traditional FRENCH brasserie and steakhouse, celebrating Joie de Vivre in the heart of West Village. Executive Chef Jerome DIHUI, former Chef de Cuisine of Pastis, prepares a menu of French classics and timeless bistro favorites, in additi",French,40.7371329,-73.9879502,10003
